DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,DK01,2010,78.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,DK02,2010,78.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,DK03,2010,79.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,DK04,2010,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,DK05,2010,79.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FR10,2010,83.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRB0,2010,81.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRC1,2010,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRC2,2010,81.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRD1,2010,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRD2,2010,80.7,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRE1,2010,79.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRE2,2010,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRF1,2010,81.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRF2,2010,80.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRF3,2010,80.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRG0,2010,82.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRH0,2010,81.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRI1,2010,82.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRI2,2010,81.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRI3,2010,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRJ1,2010,81.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRJ2,2010,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRK1,2010,81.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRK2,2010,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRL0,2010,82.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,FRM0,2010,81.7,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,HU11,2010,76.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,HU12,2010,75.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,HU21,2010,74.7,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,HU22,2010,75.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,HU23,2010,74.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,HU31,2010,73.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,HU32,2010,74.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,HU33,2010,74.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,PT11,2010,80.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,PT15,2010,80.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,PT16,2010,80.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,PT17,2010,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,PT18,2010,79.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,PT20,2010,76.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,PT30,2010,76.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,SK01,2010,77.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,SK02,2010,75.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,SK03,2010,75.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,SK04,2010,75.2,
